date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:50	610039/610039	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2294ef7-5c6a73fb4ab49%22	https://hoangduyentv.xyz/assets/fonts/LineIcons.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/LineIcons.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:51	55630/55630	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d94e-5c6a73fb3ebe0%22	https://hoangduyentv.xyz/assets/flags/1x1/ad.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ad.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:51	257/257	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22101-5c6a73fb45171%22	https://hoangduyentv.xyz/assets/flags/4x3/ae.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ae.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:51	273/273	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22111-5c6a73fb3ebe0%22	https://hoangduyentv.xyz/assets/flags/1x1/ae.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ae.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:51	33813/33813	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228415-5c6a73fb45171%22	https://hoangduyentv.xyz/assets/flags/4x3/af.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/af.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:51	33622/33622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228356-5c6a73fb3ebe0%22	https://hoangduyentv.xyz/assets/flags/1x1/af.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/af.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:52	902/902	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22386-5c6a73fb45171%22	https://hoangduyentv.xyz/assets/flags/4x3/ag.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ag.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:52	862/862	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235e-5c6a73fb3ebe0%22	https://hoangduyentv.xyz/assets/flags/1x1/ag.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ag.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:52	55336/55336	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d828-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/ai.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ai.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:52	58220/58220	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e36c-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/ai.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ai.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:53	4647/4647	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221227-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/al.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/al.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:53	4908/4908	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22132c-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/al.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/al.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:53	226/226	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e2-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/am.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/am.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:53	242/242	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f2-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/am.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/am.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:53	2245/2245	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228c5-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/ao.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ao.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:54	2251/2251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228cb-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/ao.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ao.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:54	4488/4488	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221188-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/aq.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/aq.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:54	4611/4611	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221203-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/aq.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/aq.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:54	4395/4395	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22112b-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/ar.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ar.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:55	4549/4549	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211c5-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/ar.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ar.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:55	11465/11465	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222cc9-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/as.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/as.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:55	11530/11530	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d0a-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/as.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/as.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:55	251/251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fb-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/at.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/at.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:55	247/247	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f7-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/at.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/at.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
